Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q,,,
m,s,s,s,m,,°,m,m,s,s,s,m,m,,,,,,m,m,m,,m,m,m,m3/s/m,,,
0.076,1.190,0.992,1.082,0.533,44,0,0.188,0.076,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,44,0,0.188,0.091,1.170,0.975,1.063,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,44,0,0.188,0.082,1.129,0.940,1.026,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,51,30,0.188,0.082,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,51,30,0.188,0.076,1.067,0.889,0.970,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.132,1.477,1.231,1.343,0.542,,,0.197,0.102,1.272,1.060,1.157,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
0.132,1.477,1.231,1.343,0.542,,,0.197,0.102,1.272,1.060,1.157,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
0.132,1.477,1.231,1.343,0.542,44,0,0.197,0.108,1.211,1.009,1.101,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
0.132,1.477,1.231,1.343,0.542,44,0,0.197,0.114,1.334,1.111,1.213,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
0.132,1.477,1.231,1.343,0.542,44,0,0.197,0.102,1.252,1.043,1.138,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,3.500E-07,,,
0.132,1.477,1.231,1.343,0.542,51,30,0.197,0.099,1.252,1.043,1.138,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
0.132,1.477,1.231,1.343,0.542,51,30,0.197,0.091,1.252,1.043,1.138,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
