Rc,Ac,Hm0.deep,Hm0.toe,Tp.deep,Tm.deep,Tm.1.0.deep,q
0.275,0.13,2.274,2.084,2.501,0.27,0.113,0.006086
0.12,0.197,1.633,1.497,1.797,0.12,0.197,0.0
0.117,0.197,2.37,2.173,2.607,0.117,0.197,0.0
0.14,0.147,1.673,1.534,1.84,0.14,0.147,0.0
0.11,0.147,2.41,2.209,2.651,0.11,0.147,0.0
0.147,0.097,1.713,1.57,1.884,0.147,0.097,1.461E-05
0.103,0.097,2.39,2.191,2.629,0.103,0.097,1.217E-06
0.137,0.047,1.653,1.515,1.818,0.137,0.047,0.0002069
0.1,0.047,2.47,2.264,2.717,0.1,0.047,0.00014
0.147,0.163,1.713,1.57,1.884,0.147,0.163,0.0
0.103,0.163,2.39,2.191,2.629,0.103,0.163,0.0
0.137,0.113,1.653,1.515,1.818,0.137,0.113,3.651E-05
0.1,0.113,2.47,2.264,2.717,0.1,0.113,2.069E-05
0.067,0.047,0.979,0.898,1.077,0.067,0.047,0.0003797
0.079,0.047,1.036,0.95,1.14,0.079,0.047,0.0007148
0.076,0.047,1.022,0.937,1.124,0.076,0.047,0.0006063
0.066,0.063,0.982,0.9,1.08,0.066,0.063,0.000102
0.078,0.063,1.034,0.948,1.137,0.078,0.063,0.0001561
0.092,0.063,1.138,1.043,1.252,0.092,0.063,0.0003463
0.073,0.078,1.013,0.928,1.114,0.073,0.078,1.797E-05
0.073,0.078,1.008,0.924,1.109,0.073,0.078,2.031E-05
0.087,0.078,1.091,1.0,1.2,0.087,0.078,8.469E-05
0.095,0.078,1.167,1.07,1.283,0.095,0.078,0.000155
0.1,0.094,1.16,1.063,1.276,0.1,0.094,4.891E-05
0.068,0.047,0.977,0.896,1.075,0.068,0.047,4.672E-05
0.079,0.047,1.032,0.946,1.135,0.079,0.047,0.0001216
0.076,0.047,1.022,0.937,1.124,0.076,0.047,8.016E-05
0.076,0.063,1.039,0.952,1.143,0.076,0.063,1.402E-05
0.088,0.063,1.096,1.004,1.205,0.088,0.063,4.672E-05
0.099,0.063,1.164,1.067,1.281,0.099,0.063,0.0001291
0.098,0.078,1.162,1.065,1.278,0.098,0.078,3.172E-05
0.086,0.078,1.157,1.061,1.273,0.086,0.078,5E-06
0.111,0.078,1.093,1.002,1.203,0.111,0.078,0.0001314
0.079,0.078,1.034,0.948,1.137,0.079,0.078,0.0
0.094,0.078,1.11,1.017,1.221,0.094,0.078,0.0
0.091,0.094,1.098,1.007,1.208,0.091,0.094,0.0
0.071,0.078,0.984,0.902,1.083,0.071,0.078,8.75E-07
0.083,0.094,1.041,0.954,1.145,0.083,0.094,0.0
0.09,0.09,1.697,1.556,1.867,0.125,0.079,0.001202
0.091,0.09,1.421,1.303,1.563,0.125,0.079,0.0007133
0.046,0.09,1.951,1.789,2.147,0.05,0.079,2.46E-05
0.098,0.109,1.591,1.458,1.75,0.185,0.097,0.0007379
0.085,0.137,1.591,1.458,1.75,0.185,0.125,0.0001252
0.075,0.137,2.121,1.944,2.333,0.125,0.125,0.0001822
0.09,0.09,1.697,1.556,1.867,0.125,0.079,0.0006965
0.091,0.09,1.421,1.303,1.563,0.125,0.079,0.0003555
0.046,0.09,1.951,1.789,2.147,0.05,0.079,1.006E-05
0.098,0.109,1.591,1.458,1.75,0.185,0.097,0.0004483
0.085,0.137,1.591,1.458,1.75,0.185,0.125,4.36E-05
0.075,0.137,2.121,1.944,2.333,0.125,0.125,8.497E-05
0.09,0.09,1.697,1.556,1.867,0.125,0.079,0.0004159
0.091,0.09,1.421,1.303,1.563,0.125,0.079,0.0001957
