Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q
0.073,1.17,0.975,1.063,0.533,44.0,0.0,0.188,0.058,1.19,0.992,1.082,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.073,1.17,0.975,1.063,0.533,44.0,0.0,0.188,0.085,1.17,0.975,1.063,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.073,1.17,0.975,1.063,0.533,44.0,0.0,0.188,0.085,1.211,1.009,1.101,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.073,1.17,0.975,1.063,0.533,51.0,45.0,0.188,0.085,1.108,0.923,1.007,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.073,1.17,0.975,1.063,0.533,51.0,45.0,0.188,0.085,1.108,0.923,1.007,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.129,1.436,1.197,1.306,0.542,44.0,0.0,0.197,0.099,1.272,1.06,1.157,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,0.0
0.129,1.436,1.197,1.306,0.542,44.0,0.0,0.197,0.114,1.293,1.077,1.175,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,4.45e-08
0.129,1.436,1.197,1.306,0.542,44.0,0.0,0.197,0.111,1.313,1.094,1.194,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,5.5e-07
0.129,1.436,1.197,1.306,0.542,51.0,45.0,0.197,0.096,1.19,0.992,1.082,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,1.15e-08
0.129,1.436,1.197,1.306,0.542,51.0,45.0,0.197,0.096,1.19,0.992,1.082,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,0.0
0.143,1.457,1.214,1.324,0.549,44.0,0.0,0.204,0.099,1.272,1.06,1.157,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,5.5e-08
0.143,1.457,1.214,1.324,0.549,44.0,0.0,0.204,0.123,1.313,1.094,1.194,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,1.15e-07
0.143,1.457,1.214,1.324,0.549,44.0,0.0,0.204,0.102,1.272,1.06,1.157,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,2.3e-06
0.143,1.457,1.214,1.324,0.549,51.0,45.0,0.204,0.102,1.231,1.026,1.119,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,4.4e-08
0.143,1.457,1.214,1.324,0.549,51.0,45.0,0.204,0.102,1.231,1.026,1.119,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,0.0
0.073,1.19,0.992,1.082,0.511,44.0,0.0,0.166,0.073,1.088,0.906,0.989,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.19,0.992,1.082,0.511,44.0,0.0,0.166,0.073,1.149,0.958,1.045,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.19,0.992,1.082,0.511,44.0,0.0,0.166,0.088,1.088,0.906,0.989,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.19,0.992,1.082,0.511,45.0,45.0,0.166,0.088,1.067,0.889,0.97,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.19,0.992,1.082,0.511,45.0,45.0,0.166,0.088,1.067,0.889,0.97,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.076,1.19,0.992,1.082,0.533,44.0,0.0,0.188,0.076,1.149,0.958,1.045,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
